Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-11-01,14:00,SSL - Svenska Superligan Damer,FBC Partille,Malmö FBC,Partillebohallen,Jörgen Andersson,Kevin Cardell,https://stats.innebandy.se/sasong/43/serie/40695/match/1571628
2025-11-01,16:00,SSL - Svenska Superligan Damer,Pixbo IBK,Täby FC IBK,Wallenstam Arena A,David Geiser Mellkvist,Fredrik Lundborg,https://stats.innebandy.se/sasong/43/serie/40695/match/1571629
2025-11-01,13:30,Allsvenskan Damer Södra,FBC Katrineholm,Lindome IBK,Stensätter Sporthall,Albin Aro Rydén,Dennie Rydén,https://stats.innebandy.se/sasong/43/serie/40697/match/1570693
2025-11-01,16:00,Allsvenskan Damer Södra,IBK Lockerud Mariestad,Landvetter IBK,"ICA-kvantum hallen, Mariestad",Noel Hildensjö,Tim Nissinen Eriksson,https://stats.innebandy.se/sasong/43/serie/40697/match/1570695
2025-11-01,13:00,Allsvenskan Herrar,Sundsvall FBC,FBC Lerum,Sundsvalls Sporthall-A,Jonas Backman,Roger Nilsson,https://stats.innebandy.se/sasong/43/serie/40694/match/1570959
2025-11-01,12:30,Damer Div. 1 region,FBC Engelholm,Onsala IBK,Kungsgårdshallen,Niclas Eriksson,Robin Jönsson,https://stats.innebandy.se/sasong/43/serie/41175/match/1573095
2025-11-01,16:00,Damer Div. 1 region,FBC Lerum,IBF Backadalen,Lerum Arena A,Måns Bartilson,Robin Cederdahl,https://stats.innebandy.se/sasong/43/serie/41175/match/1573096
2025-11-01,16:00,Damer Div. 1 region,Kustens IF,IBK Lund,Haverdalshallen,Ronny Jensen,Eino Kozan,https://stats.innebandy.se/sasong/43/serie/41175/match/1573098
2025-11-01,14:00,Damer Div. 2,IK Zenith D2,Landvetter IBF D2,Björlanda Idrottshall,Christer Carlberg,Mats Sällberg,https://stats.innebandy.se/sasong/43/serie/42062/match/1629494
2025-11-01,17:00,Damer Div. 2,Burås IK D3,Lindås IBF D2,Torpahallen,Sebastian Ågren,Mats Sällberg,https://stats.innebandy.se/sasong/43/serie/42062/match/1629497
2025-11-01,10:30,Damer Div. 3,Mölndals IBF D3,IBK Göteborg D3,Aktiviteten A-Hall,Ian S Blomqvist,Linus Svensson,https://stats.innebandy.se/sasong/43/serie/42080/match/1647641
2025-11-01,17:00,Damer Div. 3,Ale IBF / IBK Kungälv D3,Fristads GoIF / Sandared IBS D3 Gbg,Ale Kulturrum,Roger Zahnér,Goran Kuduzovic,https://stats.innebandy.se/sasong/43/serie/42080/match/1647637
2025-11-01,14:00,Division 1 Herrar Västra Götaland,IBK Lidköping,IBK Göteborg,Idrottens hus i Lidköping,Christoffer Danielsson,Martin Johansson,https://stats.innebandy.se/sasong/43/serie/40701/match/1570553
2025-11-01,14:00,Division 1 Herrar Västra Götaland,IBF Backadalen,Fagerhult Habo IBK,Lundbyskolans sporthall A-hall,Tobias Anderberg,Adam Kruse,https://stats.innebandy.se/sasong/43/serie/40701/match/1570555
2025-11-01,15:00,Division 1 Herrar Västra Götaland,Fristads GoIF,Floda IBK,Nya Fristadshallen,Richard Claesson,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/40701/match/1570556
2025-11-01,16:00,Division 1 Herrar Västra Götaland,Mullsjö AIS Utveckling,FBC Partille,Nyhemshallen - Mullsjö,Jesper Björklund Greter,Sebastian Kiejs,https://stats.innebandy.se/sasong/43/serie/40701/match/1570554
2025-11-01,13:00,Herrar Div. 2,Surte IS IBK H2,Landvetter IBK H2,Bohushallen,Linda Lindskog,Sandra Lindskog,https://stats.innebandy.se/sasong/43/serie/42061/match/1629829
2025-11-01,13:00,Herrar Div. 2,Mölndals IBF H2,FBC Vinga H2,Aktiviteten A-Hall,Christian Svärdström,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/42061/match/1629830
2025-11-01,15:00,Herrar Div. 2,Stenungsunds IBK H2,Lindome IBK H2,Stenungsund Arena,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/42061/match/1629828
2025-11-01,12:00,Herrar Div. 3 A,Ale IBF H3,FBC Lerum H3,Ale Kulturrum,Alexander Pavlovic,Magnus Fredriksson,https://stats.innebandy.se/sasong/43/serie/42064/match/1630669
